,C-KC443457,C-KC443202,C-KC178781,C-KC443633,C-KC443325,C-KC443765,C-MH170019,C-LC514516,C-LC514505,C-LC514494,C-PX212613,C-KJ721711,C-KU248407,C-KU248396,C-KU199272,C-MW715608,C-MG670699,C-MG670701,C-MG670696,C-LC105582,C-MN479423,C-PP861741,C-OP850468,C-PP861731,B-KC443369,B-KC443224,B-KJ639025,B-KJ639014,B-PX212549,B-OP850475,B-OP850472,B-OP850473,B-OP850470,B-OP850474,B-LC514472,B-LC514483,B-MZ546117,B-KX880419,B-KU550278,B-KU550275,B-KU550277,B-PX212551,B-LC541987,B-LC228328,B-LC228317,B-LC260268,B-MH704723,B-MH704722,B-LC469461,B-LC260266,B-KX880430,B-MH569755,B-LC325465,B-MF997037,B-LC228306,B-LC260272,B-MH569760,B-KU550276,B-KU550274,B-KU870387,B-KU870409,B-MT732500,B-LC386067,B-MT723919,B-MT410497,B-LC066641,B-LC066663,B-LC066652,B-LC169964,B-LC169953,B-LC169942,B-AB975754,B-AB975753,B-AB975725,B-AB975723,B-AB848009,B-LC751490,B-LC751460,B-KY616887,B-MG599526,B-MG599525,B-KU059790,B-MG670685,B-MG670702,B-MG670698,B-KU059779,B-KU059768,B-MG670694,B-LC086727,B-LC086716,A-KU356576,A-MG181889,A-MG181768,A-LC105571,A-KJ752163,A-HQ657140,A-KC443009,A-HQ641357,A-KF716382,A-KF716380,A-KC442965,A-KC442976,A-KC178786,A-KC443347,A-MG181658,A-KR705203,A-KJ721708,A-PX212611,A-OP717289,A-OP717286,A-LC569217,A-LC228372,A-LC228339,A-LC569172,A-LC569200,A-LC477510,A-LC228350,A-KC834705,A-PX212648,A-KJ919519,A-KC443358,A-MN479346,A-MN479342,A-MN479334,A-MN479333,A-MN479287,A-KJ721717,A-KJ721713,A-PX212628,A-LC086804,A-LC086738,A-LC086793,A-LC086782,A-KJ919584,A-PP861743,A-PP861797,A-OP850469,A-KF716374,A-LC169986,A-LC169975
B-LC066652,87.82,87.78,87.50,87.70,87.70,87.70,87.54,87.50,87.50,87.50,87.52,87.50,87.31,87.31,87.47,87.35,87.19,87.23,87.35,87.58,87.31,87.47,87.47,87.47,98.72,98.60,99.00,99.12,98.86,98.72,98.72,98.76,98.76,98.80,98.80,98.96,99.00,99.04,99.16,99.16,99.12,99.12,99.08,99.16,99.12,99.20,99.24,99.28,99.56,99.40,99.40,99.24,99.36,99.24,99.32,99.36,99.52,99.40,99.40,99.20,99.32,99.44,99.44,99.40,99.48,99.92,99.96,,99.72,99.76,99.76,99.55,99.56,99.59,99.60,99.60,99.44,99.44,99.44,99.72,99.76,99.48,99.52,99.52,99.56,99.56,99.60,99.64,99.64,99.64,94.37,96.37,96.29,96.61,96.53,96.41,96.37,96.45,96.45,96.41,96.45,96.57,96.57,96.53,96.41,96.85,96.57,97.45,97.76,97.68,97.49,97.56,97.56,97.60,97.60,97.60,97.60,98.16,98.14,98.20,98.16,97.84,97.80,97.84,97.84,97.84,98.08,97.92,97.25,97.56,97.45,97.68,97.52,97.64,96.93,96.97,97.05,97.49,97.49,97.45
B-LC169964,87.70,87.66,87.47,87.58,87.58,87.58,87.50,87.47,87.47,87.47,87.41,87.39,87.27,87.27,87.43,87.31,87.15,87.19,87.31,87.54,87.27,87.43,87.43,87.43,98.60,98.48,98.88,99.00,98.66,98.52,98.60,98.56,98.56,98.60,98.60,98.76,98.80,98.84,98.96,98.96,98.92,98.92,98.96,99.04,99.00,99.08,99.04,99.08,99.44,99.28,99.28,99.04,99.16,99.04,99.12,99.16,99.32,99.20,99.20,99.00,99.12,99.56,99.56,99.52,99.60,99.72,99.68,99.72,,99.88,99.88,99.43,99.44,99.47,99.48,99.48,99.32,99.32,99.32,99.60,99.64,99.36,99.40,99.40,99.44,99.44,99.48,99.52,99.52,99.52,94.25,96.25,96.17,96.49,96.41,96.29,96.25,96.33,96.33,96.29,96.33,96.45,96.45,96.41,96.29,96.73,96.45,97.33,97.64,97.56,97.41,97.45,97.45,97.49,97.49,97.49,97.49,98.04,98.02,98.08,98.04,97.72,97.68,97.72,97.72,97.72,97.96,97.80,97.13,97.45,97.33,97.56,97.41,97.52,96.81,96.85,96.93,97.37,97.45,97.41
B-LC169953,87.74,87.70,87.58,87.62,87.62,87.62,87.54,87.50,87.50,87.50,87.45,87.43,87.31,87.31,87.47,87.35,87.19,87.23,87.35,87.58,87.31,87.47,87.47,87.47,98.64,98.52,98.92,99.04,98.70,98.56,98.64,98.60,98.60,98.64,98.64,98.80,98.84,98.88,99.00,99.00,98.96,98.96,99.00,99.08,99.04,99.12,99.08,99.12,99.48,99.32,99.32,99.08,99.20,99.08,99.16,99.20,99.36,99.24,99.24,99.04,99.16,99.60,99.60,99.56,99.64,99.76,99.72,99.76,99.88,,100.00,99.47,99.48,99.51,99.52,99.52,99.36,99.36,99.36,99.64,99.68,99.40,99.44,99.44,99.48,99.48,99.52,99.56,99.56,99.56,94.29,96.29,96.21,96.53,96.45,96.33,96.29,96.37,96.37,96.33,96.37,96.49,96.49,96.45,96.33,96.77,96.49,97.37,97.68,97.60,97.45,97.49,97.49,97.52,97.52,97.52,97.52,98.08,98.06,98.12,98.08,97.76,97.72,97.76,97.76,97.76,98.00,97.84,97.17,97.49,97.37,97.60,97.45,97.56,96.85,96.89,96.97,97.41,97.49,97.45
B-LC169942,87.74,87.70,87.58,87.62,87.62,87.62,87.54,87.50,87.50,87.50,87.45,87.43,87.31,87.31,87.47,87.35,87.19,87.23,87.35,87.58,87.31,87.47,87.47,87.47,98.64,98.52,98.92,99.04,98.70,98.56,98.64,98.60,98.60,98.64,98.64,98.80,98.84,98.88,99.00,99.00,98.96,98.96,99.00,99.08,99.04,99.12,99.08,99.12,99.48,99.32,99.32,99.08,99.20,99.08,99.16,99.20,99.36,99.24,99.24,99.04,99.16,99.60,99.60,99.56,99.64,99.76,99.72,99.76,99.88,100.00,,99.47,99.48,99.51,99.52,99.52,99.36,99.36,99.36,99.64,99.68,99.40,99.44,99.44,99.48,99.48,99.52,99.56,99.56,99.56,94.29,96.29,96.21,96.53,96.45,96.33,96.29,96.37,96.37,96.33,96.37,96.49,96.49,96.45,96.33,96.77,96.49,97.37,97.68,97.60,97.45,97.49,97.49,97.52,97.52,97.52,97.52,98.08,98.06,98.12,98.08,97.76,97.72,97.76,97.76,97.76,98.00,97.84,97.17,97.49,97.37,97.60,97.45,97.56,96.85,96.89,96.97,97.41,97.49,97.45
B-AB975754,87.75,87.71,87.46,87.63,87.63,87.63,87.34,87.30,87.30,87.30,87.42,87.30,87.18,87.18,87.34,87.22,87.06,87.10,87.22,87.46,87.18,87.34,87.34,87.34,98.62,98.49,98.90,99.02,98.72,98.58,98.58,98.62,98.62,98.66,98.58,98.78,98.78,98.90,98.94,98.94,98.90,98.98,98.98,99.06,99.02,99.06,99.02,99.06,99.43,99.27,99.27,99.02,99.15,99.02,99.10,99.15,99.31,99.19,99.19,98.98,99.10,99.15,99.15,99.10,99.19,99.55,99.51,99.55,99.43,99.47,99.47,,99.92,99.96,99.96,99.96,99.80,99.80,99.80,99.59,99.63,99.43,99.47,99.47,99.51,99.51,99.55,99.59,99.59,99.59,94.34,96.34,96.26,96.58,96.50,96.34,96.42,96.46,96.38,96.34,96.38,96.50,96.50,96.42,96.34,96.74,96.50,97.40,97.68,97.60,97.40,97.48,97.48,97.52,97.52,97.52,97.52,98.13,98.11,98.17,98.13,97.76,97.72,97.76,97.76,97.76,98.01,97.84,97.15,97.48,97.44,97.60,97.44,97.56,96.91,96.95,97.03,97.48,97.40,97.35
B-AB975753,87.87,87.83,87.59,87.75,87.75,87.75,87.46,87.42,87.42,87.42,87.46,87.34,87.22,87.22,87.38,87.26,87.10,87.14,87.26,87.51,87.22,87.38,87.38,87.38,98.59,98.47,98.87,98.99,98.73,98.59,98.59,98.63,98.63,98.67,98.59,98.79,98.79,98.91,98.95,98.95,98.91,98.99,98.99,99.07,99.03,99.07,99.03,99.07,99.44,99.27,99.27,99.03,99.15,99.03,99.11,99.15,99.31,99.19,99.19,98.99,99.11,99.15,99.15,99.11,99.19,99.56,99.52,99.56,99.44,99.48,99.48,99.92,,99.96,99.96,99.96,99.80,99.80,99.80,99.60,99.64,99.44,99.48,99.48,99.52,99.52,99.56,99.60,99.60,99.60,94.40,96.37,96.29,96.61,96.53,96.33,96.37,96.49,96.41,96.37,96.41,96.53,96.53,96.45,96.41,96.78,96.49,97.42,97.70,97.62,97.42,97.50,97.50,97.54,97.54,97.54,97.54,98.11,98.09,98.15,98.11,97.78,97.74,97.78,97.78,97.78,98.02,97.86,97.18,97.50,97.46,97.62,97.46,97.58,97.02,97.06,97.06,97.58,97.50,97.46
B-AB975725,87.83,87.79,87.55,87.71,87.71,87.71,87.43,87.39,87.39,87.39,87.43,87.31,87.19,87.19,87.35,87.23,87.06,87.10,87.23,87.47,87.19,87.35,87.35,87.35,98.66,98.54,98.95,99.07,98.76,98.62,98.62,98.66,98.66,98.70,98.62,98.82,98.82,98.95,98.99,98.99,98.95,99.03,99.03,99.11,99.07,99.11,99.07,99.11,99.47,99.31,99.31,99.07,99.19,99.07,99.15,99.19,99.35,99.23,99.23,99.03,99.15,99.19,99.19,99.15,99.23,99.59,99.55,99.59,99.47,99.51,99.51,99.96,99.96,,100.00,100.00,99.84,99.84,99.84,99.64,99.68,99.47,99.51,99.51,99.55,99.55,99.59,99.64,99.64,99.64,94.40,96.39,96.31,96.63,96.55,96.35,96.39,96.51,96.43,96.39,96.43,96.55,96.55,96.47,96.39,96.80,96.51,97.45,97.73,97.65,97.45,97.53,97.53,97.57,97.57,97.57,97.57,98.13,98.11,98.18,98.13,97.81,97.77,97.81,97.81,97.81,98.05,97.89,97.20,97.53,97.49,97.65,97.49,97.61,96.96,97.00,97.08,97.53,97.45,97.40
B-AB975723,87.98,87.94,87.66,87.86,87.86,87.86,87.62,87.58,87.58,87.58,87.60,87.50,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.64,98.52,98.92,99.04,98.78,98.64,98.64,98.68,98.68,98.72,98.64,98.80,98.84,98.96,99.00,99.00,98.96,99.04,99.04,99.12,99.08,99.12,99.08,99.12,99.48,99.32,99.32,99.08,99.20,99.08,99.16,99.20,99.36,99.24,99.24,99.04,99.16,99.20,99.20,99.16,99.24,99.60,99.56,99.60,99.48,99.52,99.52,99.96,99.96,100.00,,100.00,99.84,99.84,99.84,99.64,99.68,99.48,99.52,99.52,99.56,99.56,99.60,99.64,99.64,99.64,94.45,96.45,96.37,96.69,96.61,96.41,96.45,96.53,96.45,96.41,96.45,96.57,96.57,96.53,96.41,96.85,96.57,97.45,97.76,97.68,97.49,97.56,97.56,97.60,97.60,97.60,97.60,98.16,98.14,98.20,98.16,97.84,97.80,97.84,97.84,97.84,98.08,97.92,97.25,97.56,97.52,97.68,97.52,97.64,97.01,97.05,97.13,97.56,97.49,97.45
B-AB848009,87.98,87.94,87.66,87.86,87.86,87.86,87.62,87.58,87.58,87.58,87.60,87.50,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.64,98.52,98.92,99.04,98.78,98.64,98.64,98.68,98.68,98.72,98.64,98.80,98.84,98.96,99.00,99.00,98.96,99.04,99.04,99.12,99.08,99.12,99.08,99.12,99.48,99.32,99.32,99.08,99.20,99.08,99.16,99.20,99.36,99.24,99.24,99.04,99.16,99.20,99.20,99.16,99.24,99.60,99.56,99.60,99.48,99.52,99.52,99.96,99.96,100.00,100.00,,99.84,99.84,99.84,99.64,99.68,99.48,99.52,99.52,99.56,99.56,99.60,99.64,99.64,99.64,94.45,96.45,96.37,96.69,96.61,96.41,96.45,96.53,96.45,96.41,96.45,96.57,96.57,96.53,96.41,96.85,96.57,97.45,97.76,97.68,97.49,97.56,97.56,97.60,97.60,97.60,97.60,98.16,98.14,98.20,98.16,97.84,97.80,97.84,97.84,97.84,98.08,97.92,97.25,97.56,97.52,97.68,97.52,97.64,97.01,97.05,97.13,97.56,97.49,97.45
B-LC751490,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.58,87.58,87.58,87.60,87.50,87.39,87.39,87.47,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.48,98.36,98.76,98.88,98.62,98.48,98.48,98.52,98.52,98.56,98.48,98.64,98.68,98.80,98.84,98.84,98.80,98.88,98.88,98.96,98.92,98.96,98.92,98.96,99.32,99.16,99.16,98.92,99.04,98.92,99.00,99.04,99.20,99.08,99.08,98.88,99.00,99.04,99.04,99.00,99.08,99.44,99.40,99.44,99.32,99.36,99.36,99.80,99.80,99.84,99.84,99.84,,100.00,99.92,99.48,99.52,99.32,99.36,99.36,99.40,99.40,99.44,99.48,99.48,99.48,94.37,96.29,96.21,96.53,96.45,96.25,96.29,96.37,96.37,96.25,96.29,96.49,96.41,96.37,96.33,96.69,96.41,97.29,97.60,97.52,97.33,97.41,97.41,97.45,97.45,97.45,97.45,98.00,97.98,98.04,98.00,97.68,97.64,97.68,97.68,97.68,97.92,97.76,97.09,97.41,97.37,97.52,97.37,97.49,96.85,96.89,96.97,97.41,97.33,97.29
B-LC751460,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.58,87.58,87.58,87.60,87.50,87.39,87.39,87.47,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.48,98.36,98.76,98.88,98.62,98.48,98.48,98.52,98.52,98.56,98.48,98.64,98.68,98.80,98.84,98.84,98.80,98.88,98.88,98.96,98.92,98.96,98.92,98.96,99.32,99.16,99.16,98.92,99.04,98.92,99.00,99.04,99.20,99.08,99.08,98.88,99.00,99.04,99.04,99.00,99.08,99.44,99.40,99.44,99.32,99.36,99.36,99.80,99.80,99.84,99.84,99.84,100.00,,99.92,99.48,99.52,99.32,99.36,99.36,99.40,99.40,99.44,99.48,99.48,99.48,94.37,96.29,96.21,96.53,96.45,96.25,96.29,96.37,96.37,96.25,96.29,96.49,96.41,96.37,96.33,96.69,96.41,97.29,97.60,97.52,97.33,97.41,97.41,97.45,97.45,97.45,97.45,98.00,97.98,98.04,98.00,97.68,97.64,97.68,97.68,97.68,97.92,97.76,97.09,97.41,97.37,97.52,97.37,97.49,96.85,96.89,96.97,97.41,97.33,97.29
B-KY616887,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.58,87.58,87.58,87.60,87.50,87.39,87.39,87.47,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.48,98.36,98.76,98.88,98.62,98.48,98.48,98.52,98.52,98.56,98.48,98.64,98.68,98.80,98.84,98.84,98.80,98.88,98.88,98.96,98.92,98.96,98.92,98.96,99.32,99.16,99.16,98.92,99.04,98.92,99.00,99.04,99.20,99.08,99.08,98.88,99.00,99.04,99.04,99.00,99.08,99.44,99.40,99.44,99.32,99.36,99.36,99.80,99.80,99.84,99.84,99.84,99.92,99.92,,99.48,99.52,99.32,99.36,99.36,99.40,99.40,99.44,99.48,99.48,99.48,94.37,96.29,96.21,96.53,96.45,96.25,96.29,96.37,96.37,96.25,96.29,96.49,96.41,96.37,96.33,96.69,96.41,97.29,97.60,97.52,97.33,97.41,97.41,97.45,97.45,97.45,97.45,98.00,97.98,98.04,98.00,97.68,97.64,97.68,97.68,97.68,97.92,97.76,97.09,97.41,97.37,97.52,97.37,97.49,96.85,96.89,96.97,97.41,97.33,97.29
B-MG599526,87.86,87.82,87.54,87.74,87.74,87.74,87.58,87.54,87.54,87.54,87.56,87.54,87.35,87.35,87.50,87.39,87.23,87.27,87.39,87.62,87.35,87.50,87.50,87.50,98.76,98.64,99.04,99.16,98.82,98.68,98.68,98.72,98.72,98.76,98.76,98.92,98.96,99.00,99.12,99.12,99.16,99.08,99.12,99.20,99.16,99.24,99.20,99.24,99.60,99.44,99.44,99.20,99.32,99.20,99.28,99.40,99.48,99.36,99.36,99.16,99.28,99.32,99.32,99.28,99.36,99.72,99.68,99.72,99.60,99.64,99.64,99.59,99.60,99.64,99.64,99.64,99.48,99.48,99.48,,99.96,99.60,99.64,99.64,99.68,99.68,99.72,99.76,99.76,99.76,94.41,96.41,96.33,96.65,96.57,96.45,96.41,96.49,96.49,96.45,96.49,96.61,96.61,96.65,96.45,96.89,96.61,97.49,97.80,97.72,97.52,97.60,97.60,97.64,97.64,97.64,97.64,98.20,98.26,98.32,98.28,97.88,97.84,97.88,97.88,97.88,98.12,97.96,97.29,97.60,97.49,97.72,97.56,97.68,96.97,97.01,97.09,97.52,97.52,97.49
B-MG599525,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.58,87.58,87.58,87.60,87.58,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,98.80,98.68,99.08,99.20,98.86,98.72,98.72,98.76,98.76,98.80,98.80,98.96,99.00,99.04,99.16,99.16,99.20,99.12,99.16,99.24,99.20,99.28,99.24,99.28,99.64,99.48,99.48,99.24,99.36,99.24,99.32,99.44,99.52,99.40,99.40,99.20,99.32,99.36,99.36,99.32,99.40,99.76,99.72,99.76,99.64,99.68,99.68,99.63,99.64,99.68,99.68,99.68,99.52,99.52,99.52,99.96,,99.64,99.68,99.68,99.72,99.72,99.76,99.80,99.80,99.80,94.45,96.45,96.37,96.69,96.61,96.49,96.45,96.53,96.53,96.49,96.53,96.65,96.65,96.69,96.49,96.93,96.65,97.52,97.84,97.76,97.56,97.64,97.64,97.68,97.68,97.68,97.68,98.24,98.22,98.28,98.24,97.92,97.88,97.92,97.92,97.92,98.16,98.00,97.33,97.64,97.52,97.76,97.60,97.72,97.01,97.05,97.13,97.56,97.56,97.52
B-KU059790,88.02,87.98,87.82,88.02,88.02,88.02,87.66,87.62,87.62,87.62,87.64,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.78,87.43,87.58,87.58,87.58,98.52,98.40,98.80,98.92,98.58,98.44,98.44,98.48,98.48,98.52,98.52,98.68,98.72,98.84,98.88,98.88,98.92,98.84,98.88,98.96,98.92,99.00,98.96,99.00,99.36,99.20,99.20,98.96,99.08,98.96,99.04,99.08,99.24,99.12,99.12,98.92,99.04,99.08,99.08,99.04,99.12,99.48,99.44,99.48,99.36,99.40,99.40,99.43,99.44,99.47,99.48,99.48,99.32,99.32,99.32,99.60,99.64,,99.72,99.72,99.76,99.92,99.88,99.84,99.84,99.84,94.33,96.41,96.33,96.65,96.57,96.29,96.33,96.41,96.41,96.37,96.41,96.53,96.53,96.57,96.37,96.81,96.53,97.41,97.72,97.64,97.45,97.52,97.52,97.56,97.56,97.56,97.56,98.12,98.10,98.16,98.12,97.72,97.68,97.72,97.72,97.72,97.96,97.80,97.21,97.52,97.41,97.64,97.49,97.60,96.81,96.85,96.93,97.37,97.37,97.33
B-MG670685,87.98,87.94,87.78,87.90,87.90,87.90,87.66,87.62,87.62,87.62,87.64,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.78,87.43,87.58,87.58,87.58,98.56,98.44,98.84,98.96,98.70,98.56,98.56,98.60,98.60,98.64,98.64,98.80,98.84,98.96,99.00,99.00,99.04,98.88,98.92,99.00,98.96,99.04,99.00,99.04,99.40,99.24,99.24,99.00,99.12,99.00,99.08,99.12,99.28,99.16,99.16,98.96,99.08,99.12,99.12,99.16,99.16,99.52,99.48,99.52,99.40,99.44,99.44,99.47,99.48,99.51,99.52,99.52,99.36,99.36,99.36,99.64,99.68,99.72,,99.76,99.80,99.80,99.84,99.88,99.88,99.88,94.29,96.37,96.29,96.61,96.53,96.33,96.29,96.37,96.37,96.33,96.37,96.49,96.49,96.53,96.33,96.77,96.49,97.45,97.84,97.76,97.49,97.56,97.64,97.60,97.60,97.60,97.60,98.08,98.06,98.12,98.08,97.76,97.72,97.76,97.76,97.76,98.00,97.84,97.33,97.56,97.45,97.68,97.52,97.64,96.93,96.97,97.05,97.41,97.41,97.37
B-MG670702,87.98,87.94,87.70,87.90,87.90,87.90,87.62,87.58,87.58,87.58,87.60,87.58,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.74,87.39,87.54,87.54,87.54,98.56,98.44,98.84,98.96,98.62,98.48,98.48,98.52,98.52,98.56,98.56,98.72,98.76,98.88,98.92,98.92,98.96,98.88,98.92,99.00,98.96,99.04,99.00,99.04,99.40,99.24,99.24,99.00,99.12,99.00,99.08,99.12,99.28,99.24,99.24,98.96,99.08,99.12,99.12,99.08,99.16,99.52,99.48,99.52,99.40,99.44,99.44,99.47,99.48,99.51,99.52,99.52,99.36,99.36,99.36,99.64,99.68,99.72,99.76,,99.96,99.80,99.84,99.88,99.88,99.88,94.29,96.45,96.37,96.69,96.61,96.41,96.37,96.45,96.45,96.41,96.45,96.57,96.57,96.61,96.41,96.85,96.57,97.45,97.76,97.68,97.49,97.56,97.56,97.60,97.60,97.60,97.60,98.08,98.06,98.12,98.08,97.76,97.72,97.76,97.76,97.76,98.00,97.84,97.25,97.56,97.45,97.68,97.52,97.64,96.85,96.89,96.97,97.41,97.41,97.37
B-MG670698,87.94,87.90,87.66,87.86,87.86,87.86,87.58,87.54,87.54,87.54,87.56,87.54,87.35,87.35,87.50,87.39,87.23,87.27,87.39,87.70,87.35,87.50,87.50,87.50,98.60,98.48,98.88,99.00,98.66,98.52,98.52,98.56,98.56,98.60,98.60,98.76,98.80,98.92,98.96,98.96,99.00,98.92,98.96,99.04,99.00,99.08,99.04,99.08,99.44,99.28,99.28,99.04,99.16,99.04,99.12,99.16,99.32,99.28,99.28,99.00,99.12,99.16,99.16,99.12,99.20,99.56,99.52,99.56,99.44,99.48,99.48,99.51,99.52,99.55,99.56,99.56,99.40,99.40,99.40,99.68,99.72,99.76,99.80,99.96,,99.84,99.88,99.92,99.92,99.92,94.33,96.49,96.41,96.73,96.65,96.45,96.41,96.49,96.49,96.45,96.49,96.61,96.61,96.65,96.45,96.89,96.61,97.49,97.80,97.72,97.52,97.60,97.60,97.64,97.64,97.64,97.64,98.12,98.10,98.16,98.12,97.80,97.76,97.80,97.80,97.80,98.04,97.88,97.29,97.60,97.49,97.72,97.56,97.68,96.89,96.93,97.01,97.45,97.45,97.41
B-KU059779,88.02,87.98,87.74,87.94,87.94,87.94,87.66,87.62,87.62,87.62,87.64,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.78,87.43,87.58,87.58,87.58,98.60,98.48,98.88,99.00,98.66,98.52,98.52,98.56,98.56,98.60,98.60,98.76,98.80,98.92,98.96,98.96,99.00,98.92,98.96,99.04,99.00,99.08,99.04,99.08,99.44,99.28,99.28,99.04,99.16,99.04,99.12,99.16,99.32,99.20,99.20,99.00,99.12,99.16,99.16,99.12,99.20,99.56,99.52,99.56,99.44,99.48,99.48,99.51,99.52,99.55,99.56,99.56,99.40,99.40,99.40,99.68,99.72,99.92,99.80,99.80,99.84,,99.96,99.92,99.92,99.92,94.33,96.41,96.33,96.65,96.57,96.37,96.33,96.41,96.41,96.37,96.41,96.53,96.53,96.57,96.37,96.81,96.53,97.49,97.80,97.72,97.52,97.60,97.60,97.64,97.64,97.64,97.64,98.12,98.10,98.16,98.12,97.80,97.76,97.80,97.80,97.80,98.04,97.88,97.29,97.60,97.49,97.72,97.56,97.68,96.89,96.93,97.01,97.45,97.45,97.41
B-KU059768,87.98,87.94,87.70,87.90,87.90,87.90,87.62,87.58,87.58,87.58,87.60,87.58,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.74,87.39,87.54,87.54,87.54,98.64,98.52,98.92,99.04,98.70,98.56,98.56,98.60,98.60,98.64,98.64,98.80,98.84,98.96,99.00,99.00,99.04,98.96,99.00,99.08,99.04,99.12,99.08,99.12,99.48,99.32,99.32,99.08,99.20,99.08,99.16,99.20,99.36,99.24,99.24,99.04,99.16,99.20,99.20,99.16,99.24,99.60,99.56,99.60,99.48,99.52,99.52,99.55,99.56,99.59,99.60,99.60,99.44,99.44,99.44,99.72,99.76,99.88,99.84,99.84,99.88,99.96,,99.96,99.96,99.96,94.37,96.45,96.37,96.69,96.61,96.41,96.37,96.45,96.45,96.41,96.45,96.57,96.57,96.61,96.41,96.85,96.57,97.52,97.84,97.76,97.56,97.64,97.64,97.68,97.68,97.68,97.68,98.16,98.14,98.20,98.16,97.84,97.80,97.84,97.84,97.84,98.08,97.92,97.33,97.64,97.52,97.76,97.60,97.72,96.93,96.97,97.05,97.49,97.49,97.45
B-MG670694,88.02,87.98,87.74,87.94,87.94,87.94,87.66,87.62,87.62,87.62,87.64,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.78,87.43,87.58,87.58,87.58,98.68,98.56,98.96,99.08,98.74,98.60,98.60,98.64,98.64,98.68,98.68,98.84,98.88,99.00,99.04,99.04,99.08,99.00,99.04,99.12,99.08,99.16,99.12,99.16,99.52,99.36,99.36,99.12,99.24,99.12,99.20,99.24,99.40,99.28,99.28,99.08,99.20,99.24,99.24,99.20,99.28,99.64,99.60,99.64,99.52,99.56,99.56,99.59,99.60,99.64,99.64,99.64,99.48,99.48,99.48,99.76,99.80,99.84,99.88,99.88,99.92,99.92,99.96,,100.00,100.00,94.41,96.49,96.41,96.73,96.65,96.45,96.41,96.49,96.49,96.45,96.49,96.61,96.61,96.65,96.45,96.89,96.61,97.56,97.88,97.80,97.60,97.68,97.68,97.72,97.72,97.72,97.72,98.20,98.18,98.24,98.20,97.88,97.84,97.88,97.88,97.88,98.12,97.96,97.37,97.68,97.56,97.80,97.64,97.76,96.97,97.01,97.09,97.52,97.52,97.49
B-LC086727,88.02,87.98,87.74,87.94,87.94,87.94,87.66,87.62,87.62,87.62,87.64,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.78,87.43,87.58,87.58,87.58,98.68,98.56,98.96,99.08,98.74,98.60,98.60,98.64,98.64,98.68,98.68,98.84,98.88,99.00,99.04,99.04,99.08,99.00,99.04,99.12,99.08,99.16,99.12,99.16,99.52,99.36,99.36,99.12,99.24,99.12,99.20,99.24,99.40,99.28,99.28,99.08,99.20,99.24,99.24,99.20,99.28,99.64,99.60,99.64,99.52,99.56,99.56,99.59,99.60,99.64,99.64,99.64,99.48,99.48,99.48,99.76,99.80,99.84,99.88,99.88,99.92,99.92,99.96,100.00,,100.00,94.41,96.49,96.41,96.73,96.65,96.45,96.41,96.49,96.49,96.45,96.49,96.61,96.61,96.65,96.45,96.89,96.61,97.56,97.88,97.80,97.60,97.68,97.68,97.72,97.72,97.72,97.72,98.20,98.18,98.24,98.20,97.88,97.84,97.88,97.88,97.88,98.12,97.96,97.37,97.68,97.56,97.80,97.64,97.76,96.97,97.01,97.09,97.52,97.52,97.49
B-LC086716,88.02,87.98,87.74,87.94,87.94,87.94,87.66,87.62,87.62,87.62,87.64,87.62,87.43,87.43,87.58,87.47,87.31,87.35,87.47,87.78,87.43,87.58,87.58,87.58,98.68,98.56,98.96,99.08,98.74,98.60,98.60,98.64,98.64,98.68,98.68,98.84,98.88,99.00,99.04,99.04,99.08,99.00,99.04,99.12,99.08,99.16,99.12,99.16,99.52,99.36,99.36,99.12,99.24,99.12,99.20,99.24,99.40,99.28,99.28,99.08,99.20,99.24,99.24,99.20,99.28,99.64,99.60,99.64,99.52,99.56,99.56,99.59,99.60,99.64,99.64,99.64,99.48,99.48,99.48,99.76,99.80,99.84,99.88,99.88,99.92,99.92,99.96,100.00,100.00,,94.41,96.49,96.41,96.73,96.65,96.45,96.41,96.49,96.49,96.45,96.49,96.61,96.61,96.65,96.45,96.89,96.61,97.56,97.88,97.80,97.60,97.68,97.68,97.72,97.72,97.72,97.72,98.20,98.18,98.24,98.20,97.88,97.84,97.88,97.88,97.88,98.12,97.96,97.37,97.68,97.56,97.80,97.64,97.76,96.97,97.01,97.09,97.52,97.52,97.49
