,A-MT633431,B-JX195088,B-EF990707,B-JF490651,B-KJ753438,B-KT988208,B-JF490916,B-LC228384,B-KF371984,B-OP850489,B-PP861406,B-OP850491,B-JN706531,B-JQ837878,B-MT732501,B-LC386068,B-MZ066016,B-KJ752983,B-JN258371,B-MT410498,B-JN706530,B-MT723920,B-LC066642,B-LC086761,B-KX362878,B-LC086750,B-LC169965,B-LC169954,B-LC169943,B-LC086739,B-LC066664,B-LC066653,B-PX211305,B-MH704725,B-LC325461,B-LC260222,B-KX880426,B-MG652356,B-MG652352,B-MG652355,B-LC541983,B-LC228329,B-LC228318,B-KU059791,B-KU059769,B-KU059780,B-MG652348,B-MG652339,B-LC086728,B-LC086717,B-PX211226,B-OP850488,B-OP850487,B-OP850486,B-OP850485,B-OP850483,B-LC514495,B-LC514473,B-PX211228,B-MH704724,B-LC228307,B-MF997038,B-MW715609,B-KU550282,B-KU550280,B-KU870388,B-KU870410,B-KX880415,B-MZ546113,B-LC514484,B-KU550284,B-KU550283,B-KU550281,B-MH569766,B-MH569765,B-LC260228,B-MG599530,B-MG599529,B-LC430887,B-AB975550,B-AB975549,B-AB975466,B-AB975472,B-KY616888,B-AB848005,B-LC751042,B-LC751012,B-MG181659,A-EF672598,B-MZ027446,B-MZ027424,A-MG652331,A-KJ919614,A-MG652329,A-JX185761,A-KJ919638,A-LC172601,A-LC172588,A-HM773681,A-HM773670,A-MT633446,A-MT633444,A-JX027953,A-JX027940,A-KP007147,A-KF371691,A-JQ069692,A-JQ069688,A-JX027865,A-PX211314,A-LC430884,A-LC430883,A-OR205278,A-OR205276,A-KJ919698,A-MH171357,A-PX211248,A-OP850492,A-ON791868,A-OR205289,A-MG652342,A-MN478658
B-MG599530,97.98,97.85,98.11,97.98,97.76,97.94,98.07,98.20,98.46,97.63,97.63,97.72,98.76,99.20,98.76,98.68,98.72,99.02,99.28,98.72,98.94,98.76,98.89,98.98,98.98,99.07,98.94,98.89,98.89,98.98,99.07,99.02,98.62,99.24,99.33,99.41,99.41,99.46,99.46,99.50,99.46,99.46,99.41,99.63,99.63,99.59,99.59,99.63,99.63,99.63,98.75,98.81,98.85,98.89,98.89,98.89,99.02,99.02,98.85,99.37,99.37,99.37,99.24,99.41,99.46,99.28,99.37,99.35,99.41,99.37,99.41,99.41,99.41,99.54,99.46,99.24,,99.91,99.59,99.63,99.63,99.63,99.67,99.72,99.72,99.67,99.63,95.25,94.51,97.29,97.24,95.90,96.07,95.77,96.03,95.90,96.55,96.55,97.03,97.03,96.59,96.81,96.81,96.85,96.68,96.90,96.68,96.77,96.61,95.27,96.29,96.20,96.50,96.46,96.77,96.42,95.62,96.11,96.46,96.72,96.29,96.63
B-MG599529,97.96,97.92,98.18,98.05,97.83,98.00,98.13,98.26,98.52,97.70,97.70,97.79,98.83,99.26,98.78,98.70,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.26,99.35,99.44,99.44,99.48,99.48,99.52,99.48,99.48,99.44,99.65,99.65,99.61,99.61,99.65,99.65,99.65,98.75,98.83,98.87,98.91,98.91,98.91,99.04,99.04,98.85,99.39,99.39,99.39,99.26,99.44,99.48,99.35,99.39,99.37,99.39,99.39,99.44,99.44,99.44,99.48,99.39,99.26,99.91,,99.61,99.65,99.65,99.65,99.70,99.74,99.74,99.70,99.65,95.27,94.57,97.22,97.18,95.96,96.14,95.83,96.09,95.96,96.61,96.61,97.09,97.09,96.57,96.79,96.87,96.92,96.74,96.96,96.74,96.83,96.66,95.30,96.35,96.27,96.57,96.53,96.83,96.48,95.65,96.18,96.53,96.79,96.35,96.70
B-LC430887,97.83,97.96,98.13,98.00,97.92,98.09,98.22,98.22,98.48,97.66,97.66,97.74,98.78,99.22,98.78,98.83,98.74,99.04,99.31,98.74,98.96,98.78,98.91,99.00,99.00,99.09,98.96,98.91,98.91,99.00,99.09,99.04,98.69,99.31,99.39,99.48,99.48,99.48,99.48,99.52,99.52,99.52,99.48,99.70,99.70,99.65,99.65,99.70,99.70,99.70,98.72,98.87,98.91,98.96,98.96,98.96,99.09,99.09,98.82,99.44,99.44,99.44,99.31,99.48,99.52,99.35,99.44,99.41,99.43,99.44,99.48,99.48,99.48,99.52,99.44,99.39,99.59,99.61,,99.70,99.70,99.70,99.74,99.78,99.78,99.74,99.70,95.27,94.36,97.22,97.18,95.87,96.05,95.74,96.01,95.87,96.48,96.48,96.96,96.96,96.44,96.66,96.83,96.87,96.70,96.92,96.70,96.79,96.68,95.14,96.31,96.22,96.44,96.40,96.61,96.35,95.49,96.05,96.48,96.66,96.22,96.57
B-AB975550,97.87,97.92,98.26,98.05,97.96,98.13,98.26,98.26,98.52,97.79,97.79,97.87,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.64,99.35,99.44,99.52,99.52,99.52,99.52,99.57,99.57,99.57,99.52,99.74,99.74,99.70,99.70,99.74,99.74,99.74,98.78,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.88,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,,99.83,99.83,99.87,99.91,99.91,99.87,99.83,95.40,94.49,97.26,97.22,96.01,96.18,95.87,96.14,96.01,96.53,96.53,97.00,97.00,96.40,96.61,96.79,96.83,96.66,96.87,96.66,96.74,96.63,95.14,96.27,96.18,96.40,96.35,96.66,96.31,95.44,96.01,96.35,96.61,96.18,96.53
B-AB975549,97.96,97.92,98.18,98.13,97.96,98.13,98.26,98.26,98.52,97.79,97.79,97.87,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.35,99.44,99.52,99.52,99.52,99.52,99.57,99.57,99.57,99.52,99.74,99.74,99.70,99.70,99.74,99.74,99.74,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.83,,99.83,99.87,99.91,99.91,99.87,99.83,95.31,94.57,97.26,97.22,96.09,96.27,95.96,96.22,96.09,96.66,96.66,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.19,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-AB975466,97.96,98.00,98.26,98.13,97.96,98.13,98.26,98.35,98.61,97.87,97.87,97.96,98.83,99.26,98.83,98.78,98.78,99.09,99.44,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.64,99.35,99.44,99.52,99.52,99.52,99.52,99.57,99.57,99.57,99.52,99.74,99.74,99.70,99.70,99.74,99.74,99.74,98.83,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.93,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.83,99.83,,99.87,99.91,99.91,99.87,99.83,95.40,94.57,97.35,97.31,96.09,96.27,95.96,96.22,96.09,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.25,96.35,96.27,96.48,96.44,96.74,96.40,95.55,96.09,96.44,96.70,96.27,96.61
B-AB975472,97.92,97.96,98.22,98.09,97.92,98.09,98.22,98.31,98.57,97.83,97.83,97.92,98.87,99.31,98.87,98.83,98.83,99.13,99.39,98.83,99.04,98.87,99.00,99.09,99.09,99.17,99.04,99.00,99.00,99.09,99.17,99.13,98.64,99.39,99.48,99.57,99.57,99.57,99.57,99.61,99.61,99.61,99.57,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.78,98.96,99.00,99.04,99.04,99.04,99.17,99.17,98.88,99.52,99.52,99.52,99.39,99.57,99.61,99.44,99.52,99.50,99.52,99.52,99.57,99.57,99.57,99.61,99.52,99.39,99.67,99.70,99.74,99.87,99.87,99.87,,99.96,99.96,99.91,99.87,95.35,94.53,97.31,97.26,96.05,96.22,95.92,96.18,96.05,96.57,96.57,97.05,97.05,96.44,96.66,96.83,96.87,96.70,96.92,96.70,96.79,96.68,95.14,96.31,96.22,96.44,96.40,96.70,96.35,95.44,96.05,96.40,96.66,96.22,96.57
B-KY616888,97.96,98.00,98.26,98.13,97.96,98.13,98.26,98.35,98.61,97.87,97.87,97.96,98.91,99.35,98.91,98.87,98.87,99.17,99.44,98.87,99.09,98.91,99.04,99.13,99.13,99.22,99.09,99.04,99.04,99.13,99.22,99.17,98.69,99.44,99.52,99.61,99.61,99.61,99.61,99.65,99.65,99.65,99.61,99.83,99.83,99.78,99.78,99.83,99.83,99.83,98.83,99.00,99.04,99.09,99.09,99.09,99.22,99.22,98.93,99.57,99.57,99.57,99.44,99.61,99.65,99.48,99.57,99.54,99.56,99.57,99.61,99.61,99.61,99.65,99.57,99.44,99.72,99.74,99.78,99.91,99.91,99.91,99.96,,100.00,99.96,99.91,95.40,94.57,97.35,97.31,96.09,96.27,95.96,96.22,96.09,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.19,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-AB848005,97.96,98.00,98.26,98.13,97.96,98.13,98.26,98.35,98.61,97.87,97.87,97.96,98.91,99.35,98.91,98.87,98.87,99.17,99.44,98.87,99.09,98.91,99.04,99.13,99.13,99.22,99.09,99.04,99.04,99.13,99.22,99.17,98.69,99.44,99.52,99.61,99.61,99.61,99.61,99.65,99.65,99.65,99.61,99.83,99.83,99.78,99.78,99.83,99.83,99.83,98.83,99.00,99.04,99.09,99.09,99.09,99.22,99.22,98.93,99.57,99.57,99.57,99.44,99.61,99.65,99.48,99.57,99.54,99.56,99.57,99.61,99.61,99.61,99.65,99.57,99.44,99.72,99.74,99.78,99.91,99.91,99.91,99.96,100.00,,99.96,99.91,95.40,94.57,97.35,97.31,96.09,96.27,95.96,96.22,96.09,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.19,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-LC751042,97.92,97.96,98.22,98.09,97.92,98.09,98.22,98.31,98.57,97.83,97.83,97.92,98.87,99.31,98.87,98.83,98.83,99.13,99.39,98.83,99.04,98.87,99.00,99.09,99.09,99.17,99.04,99.00,99.00,99.09,99.17,99.13,98.64,99.39,99.48,99.57,99.57,99.57,99.57,99.61,99.61,99.61,99.57,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.78,98.96,99.00,99.04,99.04,99.04,99.17,99.17,98.88,99.52,99.52,99.52,99.39,99.57,99.61,99.44,99.52,99.50,99.52,99.52,99.57,99.57,99.57,99.61,99.52,99.39,99.67,99.70,99.74,99.87,99.87,99.87,99.91,99.96,99.96,,99.96,95.35,94.53,97.31,97.26,96.05,96.22,95.92,96.18,96.05,96.57,96.57,97.05,97.05,96.44,96.66,96.83,96.87,96.70,96.92,96.70,96.79,96.68,95.14,96.31,96.22,96.44,96.40,96.70,96.35,95.44,96.05,96.40,96.66,96.22,96.57
B-LC751012,97.87,98.00,98.26,98.05,97.87,98.05,98.18,98.26,98.52,97.79,97.79,97.87,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.35,99.44,99.52,99.52,99.52,99.52,99.57,99.57,99.57,99.52,99.74,99.74,99.70,99.70,99.74,99.74,99.74,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.83,99.83,99.83,99.87,99.91,99.91,99.96,,95.40,94.57,97.26,97.22,96.09,96.27,95.96,96.22,96.09,96.53,96.53,97.00,97.00,96.40,96.61,96.79,96.83,96.66,96.87,96.66,96.74,96.63,95.14,96.27,96.18,96.40,96.35,96.66,96.31,95.39,96.01,96.35,96.61,96.18,96.53
B-MG181659,95.09,95.79,95.66,95.44,95.22,95.18,95.35,95.27,95.57,94.79,94.79,94.88,95.09,95.44,95.09,94.96,95.22,95.27,95.61,95.05,95.27,95.01,95.14,95.22,95.22,95.31,95.18,95.14,95.14,95.22,95.31,95.27,94.04,95.18,95.31,95.27,95.27,95.31,95.35,95.31,95.27,95.27,95.22,95.40,95.40,95.35,95.35,95.40,95.40,95.40,93.98,94.70,94.75,94.79,94.79,94.79,94.92,94.83,94.02,95.14,95.14,95.14,95.05,95.09,95.14,94.96,95.05,95.12,95.12,95.05,95.09,95.09,95.09,95.14,95.14,95.09,95.25,95.27,95.27,95.40,95.31,95.40,95.35,95.40,95.40,95.35,95.40,,92.84,95.14,95.09,93.70,93.79,93.57,93.83,93.70,94.18,94.18,94.53,94.53,94.18,94.09,94.57,94.62,94.36,94.49,94.18,94.27,94.42,92.37,94.01,94.01,93.96,93.88,94.40,93.88,92.57,93.79,94.05,94.27,93.79,94.14
A-EF672598,95.74,94.92,95.18,95.05,94.79,94.79,94.92,94.49,94.75,94.27,94.31,94.49,94.79,94.79,94.62,94.49,94.49,94.70,94.88,94.66,94.62,94.53,94.57,94.66,94.92,94.83,94.62,94.57,94.57,94.66,94.75,94.70,93.63,94.40,94.44,94.44,94.44,94.44,94.53,94.49,94.57,94.57,94.53,94.57,94.57,94.62,94.53,94.57,94.57,94.57,93.75,94.05,94.09,94.14,94.14,94.14,94.09,94.09,93.55,94.40,94.40,94.22,94.27,94.22,94.27,94.18,94.18,94.16,94.12,94.14,94.18,94.18,94.18,94.22,94.14,94.27,94.51,94.57,94.36,94.49,94.57,94.57,94.53,94.57,94.57,94.53,94.57,92.84,,94.53,94.49,95.87,96.05,95.87,96.14,96.09,94.88,94.88,95.31,95.31,94.44,94.66,95.01,95.05,94.88,95.01,94.70,94.79,94.90,93.52,94.44,94.44,94.57,94.62,94.83,94.44,93.77,94.44,94.36,94.70,94.36,94.62
B-MZ027446,97.61,98.22,98.05,97.83,97.52,97.57,97.79,97.48,97.70,96.87,96.87,96.96,97.48,97.57,97.31,97.18,97.44,97.39,97.74,97.18,97.39,97.22,97.35,97.52,97.52,97.52,97.48,97.44,97.44,97.52,97.52,97.48,96.29,97.00,97.13,97.22,97.22,97.13,97.22,97.18,97.18,97.18,97.13,97.26,97.26,97.22,97.22,97.26,97.26,97.26,96.41,96.53,96.57,96.61,96.61,96.61,96.74,96.74,96.47,97.09,97.09,97.00,97.00,97.05,97.09,96.92,97.00,97.07,97.04,97.00,97.05,97.05,97.05,97.18,97.09,97.31,97.29,97.22,97.22,97.26,97.26,97.35,97.31,97.35,97.35,97.31,97.26,95.14,94.53,,99.87,95.61,95.79,95.40,95.66,95.53,96.44,96.44,96.92,96.92,96.35,96.48,96.61,96.66,96.53,96.79,96.48,96.57,96.46,95.04,96.14,96.05,96.09,96.05,96.74,95.96,95.39,95.96,96.05,96.31,95.96,96.40
B-MZ027424,97.57,98.18,98.00,97.79,97.39,97.52,97.74,97.44,97.66,96.83,96.83,96.92,97.44,97.52,97.26,97.13,97.39,97.35,97.70,97.13,97.35,97.18,97.31,97.48,97.48,97.48,97.44,97.39,97.39,97.48,97.48,97.44,96.24,96.96,97.09,97.09,97.09,97.09,97.18,97.13,97.13,97.13,97.09,97.22,97.22,97.18,97.18,97.22,97.22,97.22,96.35,96.48,96.53,96.57,96.57,96.57,96.70,96.70,96.42,97.05,97.05,96.96,96.96,97.00,97.05,96.87,96.96,97.03,96.99,96.96,97.00,97.00,97.00,97.13,97.05,97.18,97.24,97.18,97.18,97.22,97.22,97.31,97.26,97.31,97.31,97.26,97.22,95.09,94.49,99.87,,95.57,95.74,95.35,95.61,95.48,96.40,96.40,96.79,96.79,96.22,96.44,96.57,96.61,96.48,96.74,96.44,96.53,96.33,94.88,96.01,95.92,95.96,95.92,96.61,95.83,95.23,95.83,95.92,96.18,95.83,96.27
A-MG652331,97.31,96.27,96.61,96.57,96.40,96.40,96.53,95.87,96.05,95.57,95.57,95.74,96.14,96.22,95.79,95.74,95.74,96.05,96.31,95.92,96.05,95.79,95.92,96.01,96.01,96.09,95.96,95.92,95.92,96.01,96.09,96.05,95.04,95.70,95.87,95.87,95.87,95.79,95.87,95.83,95.92,95.92,95.87,96.01,96.01,96.05,95.96,96.01,96.01,96.01,95.04,95.35,95.40,95.44,95.44,95.44,95.57,95.57,94.96,95.74,95.74,95.66,95.70,95.74,95.79,95.70,95.70,95.68,95.64,95.66,95.70,95.70,95.70,95.74,95.74,95.61,95.90,95.96,95.87,96.01,96.09,96.09,96.05,96.09,96.09,96.05,96.09,93.70,95.87,95.61,95.57,,99.74,99.09,99.44,99.31,96.27,96.27,96.74,96.74,96.18,96.14,96.44,96.48,96.27,96.53,96.35,96.44,96.46,95.09,96.09,96.01,96.22,96.18,96.48,96.18,95.44,95.92,96.09,96.53,96.09,96.27
A-KJ919614,97.48,96.44,96.79,96.74,96.57,96.57,96.70,96.05,96.22,95.74,95.74,95.92,96.31,96.40,95.96,95.92,95.92,96.22,96.48,96.09,96.22,95.96,96.09,96.18,96.18,96.27,96.14,96.09,96.09,96.18,96.27,96.22,95.19,95.87,96.05,96.05,96.05,95.96,96.05,96.01,96.09,96.09,96.05,96.18,96.18,96.22,96.14,96.18,96.18,96.18,95.19,95.53,95.57,95.61,95.61,95.61,95.74,95.74,95.11,95.92,95.92,95.83,95.87,95.92,95.96,95.87,95.87,95.85,95.82,95.83,95.87,95.87,95.87,95.92,95.92,95.79,96.07,96.14,96.05,96.18,96.27,96.27,96.22,96.27,96.27,96.22,96.27,93.79,96.05,95.79,95.74,99.74,,99.26,99.61,99.48,96.44,96.44,96.92,96.92,96.27,96.31,96.61,96.66,96.44,96.70,96.53,96.61,96.63,95.25,96.27,96.18,96.40,96.35,96.66,96.35,95.60,96.09,96.27,96.61,96.27,96.44
A-MG652329,97.18,96.14,96.48,96.44,96.31,96.31,96.44,95.74,95.92,95.44,95.44,95.61,96.01,96.09,95.66,95.61,95.61,95.92,96.18,95.79,95.92,95.66,95.79,95.87,95.87,95.96,95.83,95.79,95.79,95.87,95.96,95.92,94.83,95.57,95.74,95.74,95.74,95.66,95.74,95.70,95.79,95.79,95.74,95.87,95.87,95.92,95.83,95.87,95.87,95.87,94.83,95.22,95.27,95.31,95.31,95.31,95.44,95.44,94.75,95.61,95.61,95.53,95.57,95.61,95.66,95.57,95.57,95.55,95.51,95.53,95.57,95.57,95.57,95.61,95.61,95.48,95.77,95.83,95.74,95.87,95.96,95.96,95.92,95.96,95.96,95.92,95.96,93.57,95.87,95.40,95.35,99.09,99.26,,99.48,99.70,96.14,96.14,96.61,96.61,95.96,96.01,96.31,96.35,96.14,96.40,96.18,96.27,96.33,94.93,95.96,95.87,96.01,96.05,96.35,96.05,95.23,95.79,95.96,96.31,95.96,96.22
A-JX185761,97.52,96.40,96.74,96.70,96.53,96.53,96.66,96.01,96.18,95.70,95.70,95.87,96.27,96.35,95.92,95.87,95.87,96.18,96.44,96.05,96.18,95.92,96.05,96.14,96.14,96.22,96.09,96.05,96.05,96.14,96.22,96.18,95.09,95.83,96.01,96.01,96.01,95.92,96.01,95.96,96.05,96.05,96.01,96.14,96.14,96.18,96.09,96.14,96.14,96.14,95.09,95.48,95.53,95.57,95.57,95.57,95.70,95.70,95.01,95.87,95.87,95.79,95.83,95.87,95.92,95.83,95.83,95.81,95.78,95.79,95.83,95.83,95.83,95.87,95.87,95.74,96.03,96.09,96.01,96.14,96.22,96.22,96.18,96.22,96.22,96.18,96.22,93.83,96.14,95.66,95.61,99.44,99.61,99.48,,99.70,96.48,96.48,96.96,96.96,96.31,96.35,96.66,96.70,96.48,96.74,96.53,96.61,96.68,95.25,96.31,96.22,96.35,96.31,96.70,96.40,95.60,96.14,96.31,96.66,96.31,96.48
A-KJ919638,97.39,96.27,96.61,96.57,96.44,96.44,96.57,95.87,96.05,95.57,95.57,95.74,96.14,96.22,95.79,95.74,95.74,96.05,96.31,95.92,96.05,95.79,95.92,96.01,96.01,96.09,95.96,95.92,95.92,96.01,96.09,96.05,94.93,95.70,95.87,95.87,95.87,95.79,95.87,95.83,95.92,95.92,95.87,96.01,96.01,96.05,95.96,96.01,96.01,96.01,94.93,95.35,95.40,95.44,95.44,95.44,95.57,95.57,94.85,95.74,95.74,95.66,95.70,95.74,95.79,95.70,95.70,95.68,95.64,95.66,95.70,95.70,95.70,95.74,95.74,95.61,95.90,95.96,95.87,96.01,96.09,96.09,96.05,96.09,96.09,96.05,96.09,93.70,96.09,95.53,95.48,99.31,99.48,99.70,99.70,,96.35,96.35,96.83,96.83,96.27,96.31,96.61,96.66,96.44,96.70,96.48,96.57,96.55,95.14,96.18,96.09,96.22,96.18,96.57,96.27,95.44,96.09,96.18,96.53,96.18,96.35
A-LC172601,98.18,96.92,97.35,97.39,96.96,97.05,97.18,96.66,97.09,96.27,96.27,96.35,96.87,96.87,96.53,96.40,96.57,96.70,97.05,96.66,96.79,96.61,96.74,96.74,96.92,96.83,96.79,96.74,96.74,96.83,96.92,96.87,95.56,96.22,96.40,96.48,96.48,96.48,96.57,96.53,96.44,96.44,96.40,96.61,96.61,96.66,96.57,96.61,96.61,96.61,95.88,95.96,96.01,96.05,96.05,96.05,96.18,96.18,95.69,96.35,96.35,96.27,96.18,96.31,96.35,96.27,96.27,96.33,96.34,96.35,96.40,96.40,96.40,96.35,96.27,96.31,96.55,96.61,96.48,96.53,96.66,96.61,96.57,96.61,96.61,96.57,96.53,94.18,94.88,96.44,96.40,96.27,96.44,96.14,96.48,96.35,,100.00,98.87,98.87,97.39,97.66,98.18,98.22,98.09,98.35,98.13,98.22,96.85,95.51,96.53,96.44,96.48,96.61,96.92,96.48,95.86,96.18,96.44,96.87,96.44,96.61
A-LC172588,98.18,96.92,97.35,97.39,96.96,97.05,97.18,96.66,97.09,96.27,96.27,96.35,96.87,96.87,96.53,96.40,96.57,96.70,97.05,96.66,96.79,96.61,96.74,96.74,96.92,96.83,96.79,96.74,96.74,96.83,96.92,96.87,95.56,96.22,96.40,96.48,96.48,96.48,96.57,96.53,96.44,96.44,96.40,96.61,96.61,96.66,96.57,96.61,96.61,96.61,95.88,95.96,96.01,96.05,96.05,96.05,96.18,96.18,95.69,96.35,96.35,96.27,96.18,96.31,96.35,96.27,96.27,96.33,96.34,96.35,96.40,96.40,96.40,96.35,96.27,96.31,96.55,96.61,96.48,96.53,96.66,96.61,96.57,96.61,96.61,96.57,96.53,94.18,94.88,96.44,96.40,96.27,96.44,96.14,96.48,96.35,100.00,,98.87,98.87,97.39,97.66,98.18,98.22,98.09,98.35,98.13,98.22,96.85,95.51,96.53,96.44,96.48,96.61,96.92,96.48,95.86,96.18,96.44,96.87,96.44,96.61
A-HM773681,98.74,97.48,97.92,98.00,97.70,97.70,97.83,97.22,97.57,96.74,96.74,96.83,97.35,97.35,96.92,96.79,96.96,97.18,97.52,97.05,97.26,97.00,97.13,97.22,97.31,97.31,97.18,97.13,97.13,97.22,97.31,97.26,96.13,96.70,96.87,97.05,97.05,96.96,97.05,97.00,96.92,96.92,96.87,97.09,97.09,97.13,97.05,97.09,97.09,97.09,96.46,96.44,96.48,96.53,96.53,96.53,96.66,96.66,96.26,96.83,96.83,96.74,96.66,96.79,96.83,96.74,96.74,96.81,96.82,96.83,96.87,96.87,96.87,96.83,96.74,96.79,97.03,97.09,96.96,97.00,97.09,97.09,97.05,97.09,97.09,97.05,97.00,94.53,95.31,96.92,96.79,96.74,96.92,96.61,96.96,96.83,98.87,98.87,,100.00,98.09,98.26,98.78,98.83,98.70,98.96,98.65,98.74,97.50,96.19,97.09,97.00,97.13,97.26,97.66,97.13,96.54,96.83,97.09,97.44,97.09,97.26
A-HM773670,98.74,97.48,97.92,98.00,97.70,97.70,97.83,97.22,97.57,96.74,96.74,96.83,97.35,97.35,96.92,96.79,96.96,97.18,97.52,97.05,97.26,97.00,97.13,97.22,97.31,97.31,97.18,97.13,97.13,97.22,97.31,97.26,96.13,96.70,96.87,97.05,97.05,96.96,97.05,97.00,96.92,96.92,96.87,97.09,97.09,97.13,97.05,97.09,97.09,97.09,96.46,96.44,96.48,96.53,96.53,96.53,96.66,96.66,96.26,96.83,96.83,96.74,96.66,96.79,96.83,96.74,96.74,96.81,96.82,96.83,96.87,96.87,96.87,96.83,96.74,96.79,97.03,97.09,96.96,97.00,97.09,97.09,97.05,97.09,97.09,97.05,97.00,94.53,95.31,96.92,96.79,96.74,96.92,96.61,96.96,96.83,98.87,98.87,100.00,,98.09,98.26,98.78,98.83,98.70,98.96,98.65,98.74,97.50,96.19,97.09,97.00,97.13,97.26,97.66,97.13,96.54,96.83,97.09,97.44,97.09,97.26
A-MT633446,98.26,96.83,97.18,97.31,97.05,97.05,97.26,96.61,96.79,95.96,96.05,96.05,96.74,96.74,96.31,96.18,96.44,96.57,96.92,96.35,96.66,96.40,96.53,96.61,96.70,96.70,96.57,96.57,96.57,96.61,96.70,96.66,95.35,96.09,96.27,96.44,96.44,96.35,96.44,96.40,96.31,96.31,96.27,96.48,96.48,96.44,96.44,96.48,96.48,96.48,95.56,95.74,95.79,95.83,95.83,95.83,95.96,95.96,95.48,96.27,96.27,96.14,96.05,96.18,96.22,96.14,96.14,96.20,96.17,96.14,96.18,96.18,96.18,96.31,96.40,96.27,96.59,96.57,96.44,96.40,96.48,96.48,96.44,96.48,96.48,96.44,96.40,94.18,94.44,96.35,96.22,96.18,96.27,95.96,96.31,96.27,97.39,97.39,98.09,98.09,,98.96,98.44,98.48,98.78,98.70,98.48,98.57,97.20,96.24,97.26,97.18,97.22,97.26,97.57,97.48,96.70,97.18,97.44,97.70,97.26,97.52
A-MT633444,98.39,97.05,97.39,97.52,97.18,97.26,97.48,96.83,97.05,96.35,96.44,96.44,96.96,96.96,96.61,96.48,96.66,96.79,97.13,96.66,96.87,96.70,96.74,96.83,96.92,96.92,96.79,96.74,96.74,96.83,96.92,96.87,95.66,96.31,96.48,96.57,96.57,96.57,96.66,96.61,96.53,96.53,96.48,96.70,96.70,96.66,96.66,96.70,96.70,96.70,95.77,95.96,96.01,96.05,96.05,96.05,96.18,96.18,95.69,96.48,96.48,96.35,96.35,96.40,96.44,96.35,96.35,96.42,96.39,96.35,96.40,96.40,96.40,96.53,96.44,96.40,96.81,96.79,96.66,96.61,96.70,96.70,96.66,96.70,96.70,96.66,96.61,94.09,94.66,96.48,96.44,96.14,96.31,96.01,96.35,96.31,97.66,97.66,98.26,98.26,98.96,,98.78,98.83,99.22,99.13,98.83,98.91,97.20,95.98,96.96,96.87,97.05,97.09,97.44,97.26,96.33,96.87,97.18,97.44,97.00,97.26
