,B-LC386074,B-MT732496,B-MT410493,B-MT723915,B-LC169971,B-LC169960,B-LC169949,B-KF716428,B-KF716425,B-PX212177,B-LC514501,B-LC514512,B-PP862071,B-PP862125,B-OP850417,B-LC514523,B-LC086800,B-LC086789,B-LC086745,B-PX212192,B-LC086811,B-KJ919165,B-LC169993,B-LC169982,B-KC442972,B-LC105586,B-MH182464,B-KC442961,B-KU248414,B-KU248403,B-KC443453,B-KC443198,B-KC178750,B-PP862069,B-OP850416,B-PP862059,B-KC443761,B-KC443629,B-KC443321,B-KC178745,B-LC066670,B-LC066659,B-LC066648,B-MG573370,B-MG573369,B-AB848013,B-LC751938,B-LC751908,B-KY616894,B-AB975925,B-AB975954,B-AB975953,B-AB975923,B-OP850423,B-OP850418,B-OP850422,B-OP850421,B-OP850420,B-PX212113,B-LC514479,B-MZ546121,B-LC514490,B-MH704739,B-MF997044,B-LC228335,B-LC228324,B-LC541991,B-KU870416,B-KU870394,B-KU550318,B-KU550316,B-MH520744,B-LC260316,B-LC228313,B-MH704738,B-PX212115,B-MH520742,B-LC325469,B-KX880423,B-KU550320,B-KU550319,B-KU550317,A-KU199279,A-KC443365,A-KC443220,A-KF716431,A-KJ721745,A-MN479978,A-MN479974,A-MN479966,A-MN479965,A-MN479919,A-KJ721749,A-KC834668,A-PX212212,A-KJ919099,A-KC443354,A-HQ657136,A-KC443005,A-KU356583,A-HQ641362,A-KJ721741,A-KC443343,A-KR705199,B-MN480055,B-MW715615,B-MG701196,B-MG701193,A-KJ752159,A-LC260312,A-LC260310,A-KX880434,A-LC086734,A-LC086723,A-KJ639032,A-KJ639021,A-MG701199,A-MG701191,A-MG701195,A-LC469575,A-KU059797,A-KU059786,A-KU059775,A-MG701198,A-MG701182,A-LC105575,A-PX212175,A-LC569412,A-LC228346,A-LC477630,A-LC228379,A-LC228357,A-LC569457,A-LC569440,A-KJ721750,A-OP717989,A-OP717986,A-MG181665,A-MG181896,A-MG181775
B-KU870416,94.33,94.33,93.38,93.76,93.95,93.95,93.95,97.35,96.97,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,96.79,97.16,97.92,97.73,98.11,98.11,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,98.68,98.68,98.68,98.68,98.68,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.39,98.68,99.05,98.87,99.81,99.62,99.43,99.24,99.43,,100.00,99.81,99.62,98.68,98.87,98.87,99.05,99.15,99.24,99.24,99.43,99.43,99.43,99.43,85.07,88.47,88.66,88.45,88.28,88.26,88.26,88.26,88.26,88.26,88.28,89.60,89.49,89.39,89.60,88.66,88.47,88.85,88.85,88.66,89.04,88.78,92.61,91.68,92.05,92.05,86.96,87.71,87.71,87.71,88.28,88.28,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,88.09,90.63,90.55,90.55,90.55,90.55,90.36,90.55,90.55,90.93,90.93,90.93,91.12,91.12,90.93
B-KU870394,94.33,94.33,93.38,93.76,93.95,93.95,93.95,97.35,96.97,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,96.79,97.16,97.92,97.73,98.11,98.11,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,98.68,98.68,98.68,98.68,98.68,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.39,98.68,99.05,98.87,99.81,99.62,99.43,99.24,99.43,100.00,,99.81,99.62,98.68,98.87,98.87,99.05,99.15,99.24,99.24,99.43,99.43,99.43,99.43,85.07,88.47,88.66,88.45,88.28,88.26,88.26,88.26,88.26,88.26,88.28,89.60,89.49,89.39,89.60,88.66,88.47,88.85,88.85,88.66,89.04,88.78,92.61,91.68,92.05,92.05,86.96,87.71,87.71,87.71,88.28,88.28,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,88.09,90.63,90.55,90.55,90.55,90.55,90.36,90.55,90.55,90.93,90.93,90.93,91.12,91.12,90.93
B-KU550318,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.54,97.16,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,96.98,97.35,98.11,97.92,98.30,98.30,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,98.87,98.87,98.87,98.87,98.87,98.49,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.68,98.68,98.68,98.58,98.87,99.24,99.05,100.00,99.81,99.62,99.43,99.62,99.81,99.81,,99.81,98.87,99.05,99.05,99.24,99.34,99.43,99.43,99.62,99.62,99.62,99.62,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.42,91.49,91.86,91.86,86.77,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.90,90.44,90.36,90.36,90.36,90.36,90.17,90.36,90.36,90.74,90.74,90.74,90.93,90.93,90.74
B-KU550316,93.95,93.95,93.01,93.38,93.57,93.57,93.57,97.35,96.97,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,96.79,97.16,97.92,97.73,98.11,98.11,98.49,98.49,97.73,98.30,98.30,98.30,98.49,98.49,98.49,98.68,98.68,98.68,98.68,98.68,98.68,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.39,98.68,99.05,98.87,99.81,99.62,99.43,99.24,99.43,99.62,99.62,99.81,,98.68,98.87,98.87,99.05,99.24,99.24,99.24,99.43,99.43,99.43,99.43,84.69,88.09,88.28,88.07,87.90,87.88,87.88,87.88,87.88,87.88,87.90,89.22,89.11,89.02,89.22,88.28,88.09,88.47,88.47,88.28,88.66,88.54,92.23,91.30,91.67,91.67,86.58,87.33,87.33,87.33,87.90,87.90,87.52,87.52,87.88,87.88,87.50,87.71,87.71,87.71,87.71,87.69,87.69,87.71,90.25,90.17,90.17,90.17,90.17,89.98,90.17,90.17,90.55,90.55,90.55,90.74,90.74,90.55
B-MH520744,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.54,97.16,97.16,97.35,97.35,97.16,97.16,97.35,97.35,96.79,96.79,96.79,96.59,96.79,96.78,96.41,96.41,96.60,96.98,97.35,97.54,97.92,97.92,98.30,98.30,97.54,97.92,97.92,97.92,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.49,98.11,97.92,97.92,97.92,97.92,98.11,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.20,98.49,98.86,98.68,98.87,98.67,98.49,98.30,98.49,98.68,98.68,98.87,98.68,,98.68,98.68,98.87,98.96,99.05,99.05,99.24,99.24,99.24,99.24,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.47,88.31,92.80,91.87,92.23,92.23,86.20,87.15,87.52,87.52,87.71,87.71,87.33,87.33,87.69,87.69,87.31,87.52,87.52,87.52,87.52,87.50,87.50,87.90,89.68,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
B-LC260316,93.95,93.95,93.01,93.38,93.57,93.57,93.57,97.35,96.97,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,96.79,97.16,97.54,97.73,98.11,98.11,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,98.68,98.68,98.68,98.68,98.68,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.39,98.68,99.05,98.87,99.05,98.86,98.68,98.49,98.68,98.87,98.87,99.05,98.87,98.68,,98.87,99.05,99.15,99.24,99.24,99.43,99.43,99.43,99.43,85.07,88.47,88.66,88.45,88.28,88.26,88.26,88.26,88.26,88.26,88.28,89.22,89.11,89.02,89.22,88.66,88.47,88.47,88.47,88.66,89.04,88.78,92.23,90.93,91.29,91.29,86.96,87.71,87.71,87.71,88.28,88.28,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,87.71,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.17,90.17,90.17,90.36,89.98,89.79
B-LC228313,94.14,94.14,93.19,93.57,93.76,93.76,93.76,97.35,96.97,97.35,97.54,97.54,97.35,97.35,97.54,97.54,96.98,96.98,96.98,96.78,96.98,96.97,96.60,96.60,96.79,97.16,97.54,97.73,98.49,98.49,98.49,98.49,97.73,98.11,98.11,98.11,98.49,98.49,98.49,98.68,98.68,98.68,98.68,98.68,98.68,98.30,98.11,98.11,98.11,98.11,98.30,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.39,98.68,99.05,98.87,99.05,98.86,98.68,98.49,98.68,98.87,98.87,99.05,98.87,98.68,98.87,,99.81,99.15,99.24,99.24,99.43,99.43,99.43,99.43,84.69,88.09,88.28,88.07,87.90,87.88,87.88,87.88,87.88,87.88,87.90,89.22,89.11,89.02,89.22,88.28,88.09,88.47,88.47,88.28,88.66,88.31,92.23,90.93,91.29,91.29,86.39,87.15,86.96,86.96,87.52,87.52,87.15,87.15,87.50,87.50,87.12,87.33,87.33,87.33,87.33,87.31,87.31,87.52,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.79,89.79,89.79,89.98,89.98,89.79
B-MH704738,94.33,94.33,93.38,93.76,93.95,93.95,93.95,97.54,97.16,97.54,97.73,97.73,97.54,97.54,97.73,97.73,97.16,97.16,97.16,96.97,97.16,97.16,96.79,96.79,96.98,97.35,97.73,97.92,98.68,98.68,98.68,98.68,97.92,98.30,98.30,98.30,98.68,98.68,98.68,98.87,98.87,98.87,98.87,98.87,98.87,98.49,98.30,98.30,98.30,98.30,98.49,98.49,98.49,98.49,98.49,98.68,98.68,98.68,98.58,98.87,99.24,99.05,99.24,99.05,98.87,98.68,98.87,99.05,99.05,99.24,99.05,98.87,99.05,99.81,,99.34,99.43,99.43,99.62,99.62,99.62,99.62,84.88,88.28,88.47,88.26,88.09,88.07,88.07,88.07,88.07,88.07,88.09,89.41,89.30,89.20,89.41,88.47,88.28,88.66,88.66,88.47,88.85,88.54,92.42,91.12,91.48,91.48,86.58,87.33,87.15,87.15,87.71,87.71,87.33,87.33,87.69,87.69,87.31,87.52,87.52,87.52,87.52,87.50,87.50,87.71,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,89.98,89.98,89.98,90.17,90.17,89.98
B-PX212115,94.22,94.22,93.28,93.66,93.84,93.84,93.84,97.63,97.25,97.63,97.82,97.82,97.63,97.63,97.82,97.82,97.25,97.25,97.25,97.06,97.25,97.25,96.88,96.88,97.06,97.44,97.82,98.01,98.39,98.39,98.77,98.77,98.01,98.58,98.58,98.58,98.77,98.77,98.77,98.96,98.96,98.96,98.96,98.96,98.96,98.58,98.39,98.39,98.39,98.39,98.58,98.58,98.58,98.58,98.58,98.77,98.77,98.77,98.67,98.96,99.34,99.15,99.34,99.15,98.96,98.77,98.96,99.15,99.15,99.34,99.24,98.96,99.15,99.15,99.34,,99.53,99.53,99.72,99.72,99.72,99.72,84.94,88.35,88.54,88.35,88.16,88.16,88.16,88.16,88.16,88.16,88.16,89.49,89.39,89.30,89.49,88.54,88.35,88.73,88.73,88.54,88.92,88.78,92.52,91.38,91.76,91.76,86.46,87.22,87.22,87.22,87.78,87.78,87.41,87.41,87.78,87.78,87.41,87.59,87.59,87.59,87.59,87.59,87.59,87.59,89.77,89.68,89.68,89.68,89.68,89.49,89.68,89.68,90.06,90.06,90.06,90.25,90.25,90.06
B-MH520742,94.52,94.52,93.57,93.95,94.14,94.14,94.14,97.92,97.54,97.92,98.11,98.11,97.92,97.92,98.11,98.11,97.54,97.54,97.54,97.35,97.54,97.54,97.16,97.16,97.35,97.73,98.11,98.30,98.68,98.68,98.87,98.87,98.30,98.68,98.68,98.68,99.05,99.05,99.05,99.24,99.05,99.05,99.05,99.05,99.05,98.68,98.49,98.49,98.48,98.49,98.68,98.68,98.68,98.68,98.68,98.87,98.87,98.87,98.77,99.05,99.43,99.24,99.43,99.24,99.05,98.87,99.05,99.24,99.24,99.43,99.24,99.05,99.24,99.24,99.43,99.53,,99.62,99.81,99.81,99.81,99.81,85.26,88.47,88.66,88.45,88.28,88.26,88.26,88.26,88.26,88.26,88.28,89.60,89.49,89.39,89.60,88.66,88.47,88.85,88.85,88.66,89.04,88.78,92.80,91.49,91.86,91.86,86.77,87.33,87.33,87.33,87.90,87.90,87.52,87.52,87.88,87.88,87.50,87.71,87.71,87.71,87.71,87.69,87.69,87.71,90.06,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
B-LC325469,94.33,94.33,93.38,93.76,93.95,93.95,93.95,97.73,97.35,97.73,97.92,97.92,97.73,97.73,97.92,97.92,97.35,97.35,97.35,97.54,97.35,97.35,96.98,96.98,97.16,97.54,97.92,98.11,98.49,98.49,98.87,98.87,98.11,98.49,98.49,98.49,98.87,98.87,98.87,99.05,99.05,99.05,99.05,99.05,99.05,98.68,98.49,98.49,98.48,98.49,98.68,98.68,98.68,98.68,98.68,98.87,98.87,98.87,98.77,99.05,99.43,99.24,99.43,99.24,99.05,98.87,99.05,99.24,99.24,99.43,99.24,99.05,99.24,99.24,99.43,99.53,99.62,,99.81,99.81,99.81,99.81,85.44,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.98,89.49,89.39,89.60,89.04,88.85,89.22,89.22,89.04,89.41,89.26,92.61,91.30,91.67,91.67,86.96,87.71,87.71,87.71,88.28,88.28,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,87.71,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.17,90.17,90.17,90.36,90.36,90.17
B-KX880423,94.52,94.52,93.57,93.95,94.14,94.14,94.14,97.92,97.54,97.92,98.11,98.11,97.92,97.92,98.11,98.11,97.54,97.54,97.54,97.35,97.54,97.54,97.16,97.16,97.35,97.73,98.11,98.30,98.68,98.68,99.05,99.05,98.30,98.68,98.68,98.68,99.05,99.05,99.05,99.24,99.24,99.24,99.24,99.24,99.24,98.87,98.68,98.68,98.67,98.68,98.87,98.87,98.87,98.87,98.87,99.05,99.05,99.05,98.96,99.24,99.62,99.43,99.62,99.43,99.24,99.05,99.24,99.43,99.43,99.62,99.43,99.24,99.43,99.43,99.62,99.72,99.81,99.81,,100.00,100.00,100.00,85.26,88.66,88.85,88.64,88.47,88.45,88.45,88.45,88.45,88.45,88.47,89.79,89.68,89.58,89.79,88.85,88.66,89.04,89.04,88.85,89.22,89.02,92.80,91.49,91.86,91.86,86.77,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.90,90.06,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
B-KU550320,94.52,94.52,93.57,93.95,94.14,94.14,94.14,97.92,97.54,97.92,98.11,98.11,97.92,97.92,98.11,98.11,97.54,97.54,97.54,97.35,97.54,97.54,97.16,97.16,97.35,97.73,98.11,98.30,98.68,98.68,99.05,99.05,98.30,98.68,98.68,98.68,99.05,99.05,99.05,99.24,99.24,99.24,99.24,99.24,99.24,98.87,98.68,98.68,98.67,98.68,98.87,98.87,98.87,98.87,98.87,99.05,99.05,99.05,98.96,99.24,99.62,99.43,99.62,99.43,99.24,99.05,99.24,99.43,99.43,99.62,99.43,99.24,99.43,99.43,99.62,99.72,99.81,99.81,100.00,,100.00,100.00,85.26,88.66,88.85,88.64,88.47,88.45,88.45,88.45,88.45,88.45,88.47,89.79,89.68,89.58,89.79,88.85,88.66,89.04,89.04,88.85,89.22,89.02,92.80,91.49,91.86,91.86,86.77,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.90,90.06,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
B-KU550319,94.52,94.52,93.57,93.95,94.14,94.14,94.14,97.92,97.54,97.92,98.11,98.11,97.92,97.92,98.11,98.11,97.54,97.54,97.54,97.35,97.54,97.54,97.16,97.16,97.35,97.73,98.11,98.30,98.68,98.68,99.05,99.05,98.30,98.68,98.68,98.68,99.05,99.05,99.05,99.24,99.24,99.24,99.24,99.24,99.24,98.87,98.68,98.68,98.67,98.68,98.87,98.87,98.87,98.87,98.87,99.05,99.05,99.05,98.96,99.24,99.62,99.43,99.62,99.43,99.24,99.05,99.24,99.43,99.43,99.62,99.43,99.24,99.43,99.43,99.62,99.72,99.81,99.81,100.00,100.00,,100.00,85.26,88.66,88.85,88.64,88.47,88.45,88.45,88.45,88.45,88.45,88.47,89.79,89.68,89.58,89.79,88.85,88.66,89.04,89.04,88.85,89.22,89.02,92.80,91.49,91.86,91.86,86.77,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.90,90.06,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
B-KU550317,94.52,94.52,93.57,93.95,94.14,94.14,94.14,97.92,97.54,97.92,98.11,98.11,97.92,97.92,98.11,98.11,97.54,97.54,97.54,97.35,97.54,97.54,97.16,97.16,97.35,97.73,98.11,98.30,98.68,98.68,99.05,99.05,98.30,98.68,98.68,98.68,99.05,99.05,99.05,99.24,99.24,99.24,99.24,99.24,99.24,98.87,98.68,98.68,98.67,98.68,98.87,98.87,98.87,98.87,98.87,99.05,99.05,99.05,98.96,99.24,99.62,99.43,99.62,99.43,99.24,99.05,99.24,99.43,99.43,99.62,99.43,99.24,99.43,99.43,99.62,99.72,99.81,99.81,100.00,100.00,100.00,,85.26,88.66,88.85,88.64,88.47,88.45,88.45,88.45,88.45,88.45,88.47,89.79,89.68,89.58,89.79,88.85,88.66,89.04,89.04,88.85,89.22,89.02,92.80,91.49,91.86,91.86,86.77,87.52,87.52,87.52,88.09,88.09,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,87.90,90.06,89.98,89.98,89.98,89.98,89.79,89.98,89.98,90.36,90.36,90.36,90.55,90.55,90.36
A-KU199279,85.44,85.44,84.69,85.07,85.26,85.26,85.26,84.85,84.47,85.98,85.82,85.82,85.63,85.63,85.82,85.82,86.01,86.39,86.39,86.55,86.39,85.98,85.26,85.26,84.69,85.07,85.26,86.01,85.63,85.63,85.07,85.07,85.26,85.26,85.26,85.26,85.63,85.63,85.63,85.44,84.88,84.88,84.88,84.88,84.88,84.88,84.69,84.69,84.66,84.69,84.88,84.88,84.88,85.07,85.07,85.26,85.26,85.26,84.94,85.63,85.23,85.44,84.88,84.66,84.88,85.07,85.26,85.07,85.07,84.88,84.69,84.88,85.07,84.69,84.88,84.94,85.26,85.44,85.26,85.26,85.26,85.26,,89.98,90.17,90.91,90.17,90.53,90.53,90.53,90.53,90.53,90.55,90.17,89.68,89.58,89.79,90.74,90.17,90.17,90.17,89.60,90.17,91.89,84.47,83.55,83.90,83.90,84.12,85.07,85.26,85.44,85.63,85.63,85.63,85.63,85.98,85.98,85.61,85.82,85.82,85.82,85.82,85.80,85.80,84.88,86.74,86.77,86.77,86.77,86.77,86.58,86.77,86.77,87.15,87.15,87.15,86.96,87.15,86.96
A-KC443365,89.04,89.04,88.85,88.85,89.04,89.04,89.04,88.07,87.69,89.58,89.41,89.41,89.22,89.60,89.41,89.41,88.85,88.85,88.85,89.02,88.85,88.83,88.09,88.09,87.52,88.28,88.66,89.60,88.85,88.85,88.85,88.85,89.22,88.47,88.47,88.47,88.85,88.85,88.85,88.66,88.28,88.28,88.28,88.28,88.28,88.28,88.09,88.09,88.07,88.09,88.28,88.28,88.28,88.66,88.66,88.85,88.85,88.85,88.35,89.04,88.64,88.85,88.28,88.07,88.28,88.47,88.47,88.47,88.47,88.28,88.09,88.28,88.47,88.09,88.28,88.35,88.47,88.85,88.66,88.66,88.66,88.66,89.98,,99.81,98.11,97.73,98.11,98.11,98.11,98.11,98.11,98.11,96.03,95.55,95.45,95.65,97.92,96.41,96.79,96.79,96.60,96.98,96.66,89.20,88.66,88.64,88.64,84.69,87.15,87.52,87.52,87.71,87.71,87.71,87.71,88.07,88.07,87.69,87.90,87.90,87.90,87.90,87.88,87.88,86.96,88.35,88.28,88.28,88.28,88.28,88.09,88.28,88.28,88.85,88.66,88.66,88.47,88.66,88.47
A-KC443220,89.22,89.22,89.04,89.04,89.22,89.22,89.22,88.26,87.88,89.77,89.60,89.60,89.41,89.79,89.60,89.60,89.04,89.04,89.04,89.20,89.04,89.02,88.28,88.28,87.71,88.47,88.85,89.79,89.04,89.04,89.04,89.04,89.41,88.66,88.66,88.66,89.04,89.04,89.04,88.85,88.47,88.47,88.47,88.47,88.47,88.47,88.28,88.28,88.26,88.28,88.47,88.47,88.47,88.85,88.85,89.04,89.04,89.04,88.54,89.22,88.83,89.04,88.47,88.26,88.47,88.66,88.66,88.66,88.66,88.47,88.28,88.47,88.66,88.28,88.47,88.54,88.66,89.04,88.85,88.85,88.85,88.85,90.17,99.81,,98.30,97.92,98.30,98.30,98.30,98.30,98.30,98.30,96.22,95.74,95.64,95.84,98.11,96.60,96.98,96.98,96.79,97.16,96.90,89.39,88.85,88.83,88.83,84.88,87.33,87.71,87.71,87.90,87.90,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,87.15,88.54,88.47,88.47,88.47,88.47,88.28,88.47,88.47,89.04,88.85,88.85,88.66,88.85,88.66
A-KF716431,88.83,88.83,88.64,88.64,88.83,88.83,88.83,88.07,87.69,89.58,89.39,89.39,89.20,89.58,89.39,89.39,88.83,88.83,88.83,89.02,88.83,88.83,88.07,88.07,87.50,88.64,88.64,89.58,88.83,88.83,88.83,88.83,89.20,88.45,88.45,88.45,88.83,88.83,88.83,88.64,88.26,88.26,88.26,88.26,88.26,88.26,88.07,88.07,88.07,88.07,88.26,88.26,88.26,88.64,88.64,88.83,88.83,88.83,88.35,89.02,88.64,88.83,88.26,88.07,88.26,88.45,88.45,88.45,88.45,88.26,88.07,88.26,88.45,88.07,88.26,88.35,88.45,88.83,88.64,88.64,88.64,88.64,90.91,98.11,98.30,,98.48,98.86,98.86,98.86,98.86,98.86,98.86,96.78,96.31,96.21,96.40,98.30,96.78,97.16,97.16,96.97,97.73,97.37,89.02,88.45,88.45,88.45,84.85,87.50,87.88,87.88,88.07,88.07,88.07,88.07,88.45,88.45,88.07,88.26,88.26,88.26,88.26,88.26,88.26,86.55,88.73,88.64,88.64,88.64,88.64,88.45,88.64,88.64,89.20,89.02,89.02,88.83,89.02,88.83
A-KJ721745,88.47,88.47,88.28,88.28,88.47,88.47,88.47,87.88,87.50,89.39,89.22,89.22,89.04,89.41,89.22,89.22,88.66,88.66,88.66,88.83,88.66,88.64,87.90,87.90,87.33,88.47,88.47,89.41,88.66,88.66,88.66,88.66,89.04,88.28,88.28,88.28,88.66,88.66,88.66,88.47,88.09,88.09,88.09,88.09,88.09,88.09,87.90,87.90,87.88,87.90,88.09,88.09,88.09,88.47,88.47,88.66,88.66,88.66,88.16,88.47,88.45,88.66,88.09,87.88,88.09,88.28,88.28,88.28,88.28,88.09,87.90,88.09,88.28,87.90,88.09,88.16,88.28,88.66,88.47,88.47,88.47,88.47,90.17,97.73,97.92,98.48,,99.62,99.62,99.62,99.62,99.62,99.62,96.03,95.55,95.45,95.65,97.92,96.03,96.41,96.41,96.22,96.98,96.18,88.64,88.09,88.07,88.07,85.44,86.77,87.15,87.15,87.33,87.33,87.33,87.33,87.69,87.69,87.31,87.52,87.52,87.52,87.52,87.50,87.50,86.58,88.35,88.28,88.28,88.28,88.28,88.09,88.28,88.28,88.85,88.66,88.66,88.47,88.66,88.47
A-MN479978,88.45,88.45,88.26,88.26,88.45,88.45,88.45,87.88,87.50,89.39,89.20,89.20,89.02,89.39,89.20,89.20,88.64,88.64,88.64,88.83,88.64,88.64,87.88,87.88,87.31,88.45,88.45,89.39,88.64,88.64,88.64,88.64,89.02,88.26,88.26,88.26,88.64,88.64,88.64,88.45,88.07,88.07,88.07,88.07,88.07,88.07,87.88,87.88,87.88,87.88,88.07,88.07,88.07,88.45,88.45,88.64,88.64,88.64,88.16,88.83,88.45,88.64,88.07,87.88,88.07,88.26,88.26,88.26,88.26,88.07,87.88,88.07,88.26,87.88,88.07,88.16,88.26,88.64,88.45,88.45,88.45,88.45,90.53,98.11,98.30,98.86,99.62,,100.00,100.00,100.00,100.00,100.00,96.40,95.93,95.83,96.02,98.30,96.40,96.78,96.78,96.59,97.35,96.66,88.64,88.07,88.07,88.07,85.42,87.12,87.50,87.50,87.69,87.69,87.69,87.69,88.07,88.07,87.69,87.88,87.88,87.88,87.88,87.88,87.88,86.55,88.35,88.26,88.26,88.26,88.26,88.07,88.26,88.26,88.83,88.64,88.64,88.45,88.64,88.45
A-MN479974,88.45,88.45,88.26,88.26,88.45,88.45,88.45,87.88,87.50,89.39,89.20,89.20,89.02,89.39,89.20,89.20,88.64,88.64,88.64,88.83,88.64,88.64,87.88,87.88,87.31,88.45,88.45,89.39,88.64,88.64,88.64,88.64,89.02,88.26,88.26,88.26,88.64,88.64,88.64,88.45,88.07,88.07,88.07,88.07,88.07,88.07,87.88,87.88,87.88,87.88,88.07,88.07,88.07,88.45,88.45,88.64,88.64,88.64,88.16,88.83,88.45,88.64,88.07,87.88,88.07,88.26,88.26,88.26,88.26,88.07,87.88,88.07,88.26,87.88,88.07,88.16,88.26,88.64,88.45,88.45,88.45,88.45,90.53,98.11,98.30,98.86,99.62,100.00,,100.00,100.00,100.00,100.00,96.40,95.93,95.83,96.02,98.30,96.40,96.78,96.78,96.59,97.35,96.66,88.64,88.07,88.07,88.07,85.42,87.12,87.50,87.50,87.69,87.69,87.69,87.69,88.07,88.07,87.69,87.88,87.88,87.88,87.88,87.88,87.88,86.55,88.35,88.26,88.26,88.26,88.26,88.07,88.26,88.26,88.83,88.64,88.64,88.45,88.64,88.45
A-MN479966,88.45,88.45,88.26,88.26,88.45,88.45,88.45,87.88,87.50,89.39,89.20,89.20,89.02,89.39,89.20,89.20,88.64,88.64,88.64,88.83,88.64,88.64,87.88,87.88,87.31,88.45,88.45,89.39,88.64,88.64,88.64,88.64,89.02,88.26,88.26,88.26,88.64,88.64,88.64,88.45,88.07,88.07,88.07,88.07,88.07,88.07,87.88,87.88,87.88,87.88,88.07,88.07,88.07,88.45,88.45,88.64,88.64,88.64,88.16,88.83,88.45,88.64,88.07,87.88,88.07,88.26,88.26,88.26,88.26,88.07,87.88,88.07,88.26,87.88,88.07,88.16,88.26,88.64,88.45,88.45,88.45,88.45,90.53,98.11,98.30,98.86,99.62,100.00,100.00,,100.00,100.00,100.00,96.40,95.93,95.83,96.02,98.30,96.40,96.78,96.78,96.59,97.35,96.66,88.64,88.07,88.07,88.07,85.42,87.12,87.50,87.50,87.69,87.69,87.69,87.69,88.07,88.07,87.69,87.88,87.88,87.88,87.88,87.88,87.88,86.55,88.35,88.26,88.26,88.26,88.26,88.07,88.26,88.26,88.83,88.64,88.64,88.45,88.64,88.45
